FirstName,LastName,Title_bucketed,DepartmentType,Attrition_Probability,Risk_Label,Primary_Risk_Factor,tenure_years_at_survey,days_since_training,Satisfaction Score
Uriah,Bridges,Production Technician I,Production       ,0.085,Normal,"High Risk Role (Production), Mid-Tenure Risk, Training Failed, Low Satisfaction",3.3182751540041067,0,2
Paula,Small,Production Technician I,Production       ,0.09,Normal,"High Risk Role (Production), Low Satisfaction",0.0,0,1
Edward,Buck,Area Sales Manager,Sales,0.0375,Normal,"Mid-Tenure Risk, Training Failed, Low Satisfaction",4.459958932238193,287,2
Michael,Riordan,Area Sales Manager,Sales,0.01,Normal,,1.9849418206707734,183,5
Jasmine,Onque,Area Sales Manager,Sales,0.025,Normal,"Mid-Tenure Risk, Training Failed",3.4086242299794662,0,5
Maruk,Fraval,Area Sales Manager,Sales,0.0075,Normal,,2.9021218343600275,0,3
Latia,Costa,Area Sales Manager,Sales,0.03,Normal,,0.9664613278576317,231,5
Sharlene,Terry,Area Sales Manager,Sales,0.0075,Normal,,2.4531143052703626,196,4
Jac,McKinzie,Area Sales Manager,Sales,0.025,Normal,Mid-Tenure Risk,4.309377138945927,0,3
Joseph,Martins,Area Sales Manager,Sales,0.0075,Normal,Training Failed,1.5195071868583163,112,5
Myriam,Givens,Area Sales Manager,Sales,0.0075,Normal,"Training Failed, Low Satisfaction",0.0,0,2
Dheepa,Nguyen,Area Sales Manager,Sales,0.005,Normal,"Mid-Tenure Risk, Training Failed, Low Satisfaction",4.216290212183436,23,2
Bartholemew,Khemmich,Area Sales Manager,Sales,0.0025,Normal,Low Satisfaction,0.432580424366872,0,2
Xana,Potts,Area Sales Manager,Sales,0.005,Normal,Training Failed,2.8035592060232717,0,4
Prater,Jeremy,Area Sales Manager,Sales,0.0075,Normal,"Mid-Tenure Risk, Low Satisfaction",3.5071868583162216,0,2
Kaylah,Moon,Area Sales Manager,IT/IS,0.01,Normal,"Mid-Tenure Risk, Training Failed",3.3127994524298425,0,5
Kristen,Tate,Area Sales Manager,IT/IS,0.01,Normal,"Training Failed, Low Satisfaction",2.0643394934976045,70,2
Bobby,Rodgers,Area Sales Manager,Sales,0.0025,Normal,"Training Failed, Low Satisfaction",1.0431211498973305,42,2
Reid,Park,Area Sales Manager,Sales,0.0025,Normal,,2.302532511978097,0,5
Hector,Dalton,Area Sales Manager,Sales,0.02,Normal,Training Failed,1.7385352498288844,161,3
